sample,r,theo,border,trans,iso
1461EP,316.276756286621,314256.612530813,401356.855156938,430054.245970029,403883.36540745
1461EP,317.371139526367,316435.161382663,403925.147671083,432942.338544227,406548.673779268
1461EP,318.465522766113,318621.235446436,406373.806192757,435832.377765601,409193.437322964
1461EP,319.559906005859,320814.834722133,408937.423236526,438780.982292887,411908.793770443
1461EP,320.654289245605,323015.959209753,411491.755734554,441795.276899468,414687.769023206
1461EP,321.748672485352,325224.608909297,413959.960773525,444543.591293167,417225.803595918
1461EP,322.843055725098,327440.783820764,416403.715850857,447309.509986345,419761.637714004
1461EP,323.937438964844,329664.483944154,418739.617906896,450205.223496725,422401.067439201
1461EP,325.03182220459,331895.709279469,421236.012694025,453059.918680324,425008.025477907
1461EP,326.126205444336,334134.459826706,423687.925375075,455917.729336764,427623.268067794
1461EP,327.220588684082,336380.735585867,426132.796992655,458921.912460544,430415.024499973
1461EP,328.314971923828,338634.536556952,428494.343078947,461888.926165451,433159.395139594
1461EP,329.409355163574,340895.86273996,430820.286685617,464670.295297144,435711.672180575
1461EP,330.50373840332,343164.714134892,433377.209470205,467590.839565325,438372.202791472
1461EP,331.598121643066,345441.090741747,435505.349009327,470353.072934543,440928.350450661
1461EP,332.692504882813,347724.992560525,438756.324394691,473207.692887103,443521.416242784
1461EP,333.786888122559,350016.419591227,441257.756142367,476107.556992868,446181.797016863
1461EP,334.881271362305,352315.371833853,443927.846905012,479010.959044924,448825.389327408
1461EP,335.975654602051,354621.849288402,446683.103429231,481956.738295884,451543.970371371
1461EP,337.070037841797,356935.851954874,449466.580924247,484993.142437735,454324.950546286
1461EP,338.164421081543,359257.37983327,452007.262874527,487863.444087924,456984.873854668
1461EP,339.258804321289,361586.43292359,454450.117489766,490783.046730405,459641.227613622
1461EP,340.353187561035,363923.011225833,457078.72225842,493782.541715005,462426.388893799
1461EP,341.447570800781,366267.114739999,459990.260446414,496856.715647855,465241.649834885
1461EP,342.541954040527,368618.743466089,462688.736618918,499865.446240558,468004.158983352
1461EP,343.636337280273,370977.897404103,465531.196818485,503022.998153855,470914.687689796
1461EP,344.73072052002,373344.57655404,468314.263132755,506138.903634248,473754.748484532
1461EP,345.825103759766,375718.7809159,471474.80742959,509406.822723068,476758.266655685
1461EP,346.919486999512,378100.510489684,474157.43133079,512444.412317738,479572.837524544
1461EP,348.013870239258,380489.765275391,476506.258743214,515646.006132929,482494.234187804
1461EP,349.108253479004,382886.545273022,479371.055301485,518823.997117731,485395.653099509
1461EP,350.20263671875,385290.850482576,482105.262683676,521976.745073554,488310.555129763
1461EP,351.297019958496,387702.680904054,484877.558908129,524995.289079089,491062.879874584
1461EP,352.391403198242,390122.036537456,487512.941658165,528189.332410573,493976.801335899
1461EP,353.485786437988,392548.91738278,490904.490558832,531502.303846609,497038.994458889
1461EP,354.580169677734,394983.323440029,493593.610438211,534577.745016019,499876.479760334
1461EP,355.67455291748,397425.254709201,496574.887504679,537695.928053462,502753.929463728
1461EP,356.768936157227,399874.711190296,499193.103195914,540800.071242673,505636.608707739
